no,question_prompt
1,Identifies the value of coins and bills
2,Makes a simple purchase from a store or vending machine using cash with assistance
3,Makes a simple purchase from a store or vending machine using cash independently
4,Identifies correct change is given after a purchase
5,Makes a shopping list and purchases correct items
6,Deposits and withdraws money from a bank account with assistance
7,Deposits and withdraws money from a bank account independently
8,Manages money independently
